ID,S0,ko,ssq_res,res2,res5,res27,res51,res72,Avg-0to14,Avg-14to20,Avg-36to42,Avg-60to66,Avg-88to94
ln1-1,266.2746099616,11.0569393936,0.1136038473,0.2686251399,-0.1103444059,0.0208471138,-0.0903737532,0.1437583952,0.944444444,2.838888889,5.711111111,2.962962963,0.481481481
ln2-2,273.2442591397,10.8166601827,0.3532084328,0.3938540965,0.0587847781,-0.0828267625,-0.2233902898,0.371306126,0.822222222,2.672222222,5.855555556,3.259259259,0.351851852
ln3-3,306.5999179312,10.6223330153,1.5914801189,0.0528299005,-0.4783823306,0.5911810859,-0.6834012503,0.737093699,1.277777778,3.438888889,5.594444444,4.268518519,0.287037037
ln4-4,292.0883144637,10.2511526698,1.670493954,-0.1004648801,-0.4336825558,0.6165483271,-0.7194457724,0.7580146065,1.327777778,3.177777778,5.25,4.166666667,0.259259259
ln5-5,299.755164683,10.2333901502,1.249414683,0.3219651407,-0.3328159525,0.3902916895,-0.6476015045,0.6806404053,0.933333333,3.133333333,5.572222222,4.212962963,0.407407407
ln6-6,293.4732334083,9.5751456812,2.4422132448,0.3217901265,-0.251426899,0.5133460846,-1.0340760768,0.9708817325,0.83,2.828888889,5.135555556,4.62962963,0.277777778
ln7-7,349.999999488,7.0072978189,1.2330377217,0.6275780552,-0.0566141776,0.2246486145,-0.8765604251,0.1309700821,0.366666667,2.255555556,4.794444444,5.194444444,2.722222222
ln8-8,277.9855350442,6.0548343147,0.2190857765,0.1709574614,-0.1813642459,0.219333031,-0.2976474788,0.1423563595,0.522222222,1.75,3.744444444,3.768518519,2.148148148
ln9-9,281.002967588,7.8919190358,1.5000001081,0.5175844027,-0.0951063172,0.3373795886,-0.8752445658,0.585818441,0.394444444,2.15,4.505555556,4.481481481,1.138888889
ln10-1,311.0187945207,6.0924103568,0.7051022947,-0.1418095367,-0.5803854443,0.501355856,-0.2641068895,0.1644230599,0.916666667,2.316666667,3.733333333,4.046296296,2.481481481
ln11-2,349.9999975841,6.3071053718,2.6451450734,0.4618156287,0.1711556804,0.5189509805,-1.4505914917,0.170444524,0.433333333,1.811111111,4.1,5.611111111,2.851851852
ln12-3,287.0226906822,8.0593175604,0.3951382213,0.4167041233,-0.0917099713,0.1166090275,-0.3704999916,0.2494338931,0.533333333,2.227777778,4.861111111,4.046296296,1.481481481
ln13-4,286.8941453357,10.7281510916,0.521115787,0.2794018863,-0.2305292042,0.2078374833,-0.3668384493,0.4605863564,0.983333333,3.055555556,5.738888889,3.62962963,0.37962963
ln14-5,312.0258249987,7.6437825131,1.1073370183,0.4244923148,-0.089939547,0.3380864056,-0.782313419,0.4390187556,0.55,2.266666667,4.7,4.768518519,1.740740741
ln15-6,349.9999999443,7.3562637643,1.5092743632,0.4436125185,-0.0933206011,0.2323218801,-1.1177485033,0.0209377469,0.6,2.4,4.977777778,5.490740741,2.722222222
ln16-7,300.7471481382,11.3743555143,1.1204664781,0.7100408669,-0.2254624684,0.0752175471,-0.4171806103,0.6211101189,0.688888889,3.338888889,6.266666667,3.731481481,0.148148148
ln17-8,301.2748119896,8.8444057255,0.8317907677,0.5128998986,-0.4170730216,0.3149671732,-0.4358576421,0.3249590005,0.577777778,2.855555556,5.144444444,4.240740741,1.268518519
ln18-9,306.194901743,11.24445236,0.5823370486,0.3953322972,-0.1684554683,0.1254224249,-0.3653049407,0.4984914184,1.011111111,3.294444444,6.255555556,3.796296296,0.342592593
ln19-0,295.228019165,7.3868852916,0.7285020331,0.3332279136,-0.458148434,0.3998495946,-0.4304421048,0.2498021201,0.561111111,2.466666667,4.361111111,4.212962963,1.824074074
ln20-2,313.1883899931,9.9433762496,3.6774699277,0.0708870394,-0.5686470571,0.878619324,-1.180828966,1.0875460984,1.2,3.394444444,5.15,5,0.222222222
ln21-3,328.2398112919,9.8659824906,3.5350064486,0.1507391542,-0.438624786,0.811028847,-1.2367903759,1.064177724,1.166666667,3.355555556,5.366666667,5.287037037,0.425925926
ln22-4,323.8304153808,10.67834467,2.0317844505,0.0631418655,-0.4285153563,0.6304778216,-0.8334600897,0.8671874885,1.344444444,3.544444444,5.8,4.666666667,0.287037037
ln23-5,268.9614603545,12.0193565124,1.3771465084,-0.4748816561,-0.6647550318,0.7303487473,-0.3279979372,0.2621883467,1.805555556,3.65,5.283333333,2.990740741,0.194444444
ln24-6,306.3182260134,6.3965406735,0.6806437193,-0.0480514242,-0.72931177,0.3746652134,0.0770815335,0.0111147263,0.85,2.527777778,3.988888889,3.722222222,2.509259259
ln25-7,347.1040890713,7.9181419448,1.1458914292,0.0644659497,-0.3760264685,0.5928180217,-0.7036085792,0.3922262433,1.05,2.838888889,4.888888889,5.101851852,2.111111111
ln26-8,349.9999832936,6.2815896222,1.091302393,0.5637580851,-0.253421498,0.3928277179,-0.7167892767,0.2028700955,0.327777778,2.227777778,4.211111111,4.87037037,2.824074074
ln27-9,349.9999999603,7.2503319493,1.2871665569,0.1508501945,-0.3648966348,0.3249310709,-0.9939811748,-0.1941196661,0.877777778,2.638888889,4.827777778,5.351851852,2.972222222
ln28-0,324.4690281131,10.4418598166,1.9064745815,0.5068498611,-0.1353186172,0.297321028,-0.867269208,0.8892193199,0.872222222,3.188888889,6.055555556,4.759259259,0.351851852
ln29-1,337.4674269319,7.6959815805,0.7057035447,0.6498267405,-0.2657935103,0.1764311617,-0.3808255171,0.1913805962,0.405555556,2.605555556,5.111111111,4.657407407,2.277777778
ln30-3,286.016613509,11.3179373176,0.4335767559,0.3002318679,-0.3092596831,0.2121546703,-0.2662567513,0.3631718162,1.027777778,3.277777778,5.894444444,3.37037037,0.324074074
ln31-4,316.6158000599,10.6950754796,1.6256819067,0.641604893,-0.0655594766,0.1263590165,-0.7147035106,0.8264135248,0.738888889,3.127777778,6.216666667,4.435185185,0.259259259
ln32-5,292.4326894814,10.2607280538,1.3824156282,0.302034667,-0.111751856,0.2743747627,-0.7255677428,0.8227831738,0.927777778,2.861111111,5.6,4.175925926,0.194444444
ln33-6,262.20083194,13.2390355763,0.4994942436,0.6746586971,-0.1648700729,-0.1243165792,0.0402472216,0.0085612162,0.755555556,3.372222222,6.266666667,2.194444444,0.259259259
ln34-7,317.379256445,9.2691636864,3.361865911,-0.1335110486,-0.2321375093,0.7909072184,-1.2801128312,1.0128819275,1.333333333,2.9,5.022222222,5.259259259,0.592592593
ln35-8,315.6507076889,9.8112693173,2.9067042916,0.0188209866,-0.4424665557,0.7749645529,-1.0855089345,0.9652324611,1.244444444,3.25,5.233333333,4.962962963,0.416666667
ln36-9,344.7436892401,8.0589105357,2.0588263857,0.1604014262,-0.4748841933,0.7604813027,-0.9635071042,0.5485481013,0.966666667,2.966666667,4.772222222,5.342592593,1.87037037
ln37-0,312.4502911675,9.1135286177,2.0505675373,0.245983925,-0.1436778116,0.4998390667,-1.033892319,0.8066248896,0.916666667,2.733333333,5.194444444,4.962962963,0.805555556
ln38-1,334.0710164322,7.5105094229,1.3357528562,0.0259518749,-0.6181357833,0.6923368127,-0.5992646119,0.3384363638,0.994444444,2.883333333,4.472222222,4.824074074,2.157407407
ln39-2,315.4865373231,10.5448715462,1.7144359853,0.3122156481,-0.2943911066,0.431462724,-0.7917497646,0.8469140918,1.044444444,3.305555556,5.844444444,4.527777778,0.277777778
ln40-4,319.2644999647,10.5730068293,1.4886306743,0.4976680688,-0.2784003068,0.3233959736,-0.7038376676,0.7506517293,0.877777778,3.327777778,6.011111111,4.490740741,0.398148148
ln41-5,313.5029951078,12.1718354566,1.06482557,-0.2331230754,-0.547526636,0.6173901295,-0.3721075293,0.4371031905,1.788888889,3.992222222,6.144444444,3.666666667,0.222222222
ln42-6,310.1663690654,11.8420606207,0.2082802257,-0.0645627856,-0.1951832023,0.2377898322,-0.2021688632,0.2619143685,1.563333333,3.518888889,6.38,3.537037037,0.453703704
ln43-7,319.7381606197,8.9602468472,3.0443984537,0.8569029983,0.2134999489,0.1706884804,-1.2063485278,0.8832452373,0.311111111,2.383333333,5.538888889,5.25,0.87037037
ln44-8,313.4311690781,11.4587590785,0.9744708164,-0.1441565921,-0.5758560963,0.5979877907,-0.3550558318,0.3720556519,1.608888889,3.823333333,5.952222222,3.842592593,0.462962963
ln45-9,322.8799602394,10.0571457853,2.8815935213,0.1112990553,-0.2629270132,0.6446822969,-1.1332263679,1.0489319151,1.211111111,3.194444444,5.544444444,5.074074074,0.314814815
ln46-0,302.4531807955,8.1774405261,0.5194056263,0.6068367227,-0.1234023221,0.0508031273,-0.3079994429,0.1961684749,0.405555556,2.388888889,5.138888889,4.175925926,1.666666667
ln47-1,312.5885015559,11.0842860939,1.7320064658,0.1301902136,-0.5186835156,0.591815839,-0.6813071737,0.7947319879,1.283333333,3.655555556,5.827777778,4.25,0.138888889
ln48-2,349.9999947692,7.1690387595,0.9428914149,0.0915750054,-0.3199855092,0.5216613967,-0.691713984,0.2855098223,0.925555556,2.568888889,4.586666667,5.037037037,2.518518519
ln49-3,349.9999997321,7.6961953387,1.2118205162,0.6750221353,-0.2163102066,0.0852377888,-0.8377721227,-0.0157453962,0.416666667,2.627777778,5.305555556,5.25,2.638888889
ln50-5,304.0853849689,11.0081922377,1.015419068,-0.1929585496,-0.4448179285,0.5550085921,-0.4595422071,0.5109887467,1.561111111,3.488888889,5.722222222,3.916666667,0.37962963
ln51-6,350,6.7031091583,0.9442984792,0.4678671279,0.1826698033,0.0980302133,-0.8260442852,-0.0084551091,0.483333333,1.922222222,4.75,5.083333333,2.944444444
ln52-7,349.9999995051,8.1029499941,2.8785202437,0.2047419084,-0.291157316,0.6111377637,-1.475627837,0.4481757828,0.944444444,2.827777778,4.988888889,5.916666667,2.018518519
ln53-8,284.0800423946,8.383379572,0.9871674038,0.723037149,-0.1158343415,0.1130204299,-0.5325249193,0.3932056499,0.255555556,2.316666667,4.966666667,4.148148148,1.185185185
ln54-9,304.4002039433,10.6041783387,1.1658563029,0.2249874673,-0.3068357867,0.3889163993,-0.6200085829,0.6967224225,1.094444444,3.244444444,5.761111111,4.175925926,0.314814815
ln55-0,334.5856197151,6.5834717265,0.5631785087,0.4849495627,0.1366820524,0.0846268359,-0.5157903544,0.1900501402,0.411111111,1.855555556,4.588888889,4.611111111,2.601851852
ln56-1,333.823440809,10.3593379033,2.1520079172,0.1104190511,-0.3416605712,0.6140110432,-0.9345023,0.8790787761,1.294444444,3.444444444,5.822222222,4.981481481,0.481481481
ln57-2,349.9999886432,8.657299519,3.0563442345,0.8108780859,-0.1320066369,0.2898380282,-1.4111450612,0.5532257637,0.416666667,2.838888889,5.583333333,5.861111111,1.685185185
ln58-3,316.519397815,8.1715336635,1.9479295929,0.2777610337,-0.2865113163,0.6052337187,-1.0111725314,0.6323858983,0.777777778,2.638888889,4.722222222,5.055555556,1.398148148
ln59-4,348.3602321911,6.4874743707,0.9965501215,0.3222428144,-0.1530592697,0.441176225,-0.7602842915,0.310827741,0.594444444,2.183333333,4.272222222,4.953703704,2.657407407
ln60-6,301.1452524383,11.2560747501,0.8826788507,0.1472749714,-0.4035482774,0.4066448008,-0.4548960376,0.5708303796,1.238888889,3.488888889,5.905555556,3.805555556,0.231481481
ln61-7,289.1844200293,12.9994583539,0.450291991,0.2845540427,-0.4713852512,0.298092262,-0.16520895,0.1759657323,1.255555556,3.9,6.277777778,2.851851852,0.212962963
ln62-8,349.7480422145,9.9916632872,5.4690839651,-0.0849518605,-0.1424627278,0.9044693611,-1.6611580151,1.365306098,1.5,3.255555556,5.566666667,6,0.305555556
ln63-9,349.9999863044,7.5991868294,2.0725149564,0.400160418,-0.4240458938,0.5952024345,-1.1253412191,0.3345338231,0.677777778,2.805555556,4.744444444,5.527777778,2.324074074
ln64-0,271.7982436201,7.4430899164,1.8380261127,0.367110977,-0.1813649705,0.5052217644,-1.0067380916,0.6337126907,0.466666667,2.066666667,4.05,4.509259259,1.148148148
ln65-1,299.9999978219,2.0000000109,4.0824905163,0.151899495,-0.6308568955,-0.6581613585,0.8759641861,1.5687405802,0.094444444,1.188888889,2.222222222,0.851851852,0.138888889
ln66-2,314.1929108076,12.1696524677,0.6456917942,0.625348896,-0.2884042956,0.0660823628,-0.2126575755,0.349089375,0.933333333,3.738888889,6.705555556,3.518518519,0.314814815
ln67-3,302.5992178091,12.9677194188,0.6077252741,0.7252701949,-0.2780976217,-0.0499662212,-0.0116485639,0.0416871559,0.877777778,3.833333333,6.844444444,2.907407407,0.407407407
ln68-4,298.8939189909,11.2718352489,1.139402548,0.8839358565,-0.1800790943,-0.0545693726,-0.3081701527,0.4771632948,0.494444444,3.25,6.338888889,3.62037037,0.305555556
ln69-5,349.9999999997,7.6005760511,2.7183759125,0.5448334285,-0.0291033962,0.2793894322,-1.5233173036,0.148766185,0.533333333,2.411111111,5.061111111,5.925925926,2.509259259
ln70-7,349.9999999997,8.1021325172,7.5861449829,0.7101941237,-0.3636043078,-0.0892315909,-2.5960327233,-0.4496810199,0.438888889,2.9,5.688888889,7.037037037,2.916666667
ln71-8,323.7526474484,11.3874162812,1.3770073415,0.6447331112,-0.1719894746,0.127121473,-0.5754842588,0.7644633258,0.855555556,3.488888889,6.544444444,4.240740741,0.166666667
ln72-9,349.9999932709,8.6514487283,3.8113908324,0.4988519229,-0.3895484877,0.0089501506,-1.8462402596,-0.0458951621,0.727777778,3.094444444,5.861111111,6.296296296,2.287037037
ln73-0,347.7096106201,8.1706052497,3.6203507516,0.5753518447,-0.1160891568,0.6698478853,-1.4713159415,0.8138657904,0.576388889,2.659722222,4.944444444,5.888888889,1.597222222
ln74-1,327.9605924385,10.6923490171,1.5053015971,-0.1155211699,-0.2843160183,0.5505341093,-0.7324545634,0.7560048712,1.541666667,3.4375,5.9375,4.625,0.430555556
ln75-2,338.4422511207,10.7717787269,2.7109358432,0.284862658,-0.3673513338,0.6037537112,-1.0217243902,1.0423064969,1.194444444,3.627777778,6.044444444,5.055555556,0.212962963
ln76-3,295.4867141501,6.9869521268,2.7079706603,0.7189729957,0.2862538874,0.3120643311,-1.2648556115,0.6417657976,0.127777778,1.616666667,4.261111111,5.027777778,1.574074074
ln77-4,349.9999999858,8.2549073025,1.9384115803,0.7429007435,-0.1777569592,0.1096534765,-1.1456980987,0.1739669816,0.427777778,2.761111111,5.566666667,5.592592593,2.231481481
ln78-5,349.9999999972,7.0158588309,6.5666268221,0.91767835,0.7349200635,-0.5039314385,-2.0046550218,-0.9548806824,0.077777778,1.466666667,5.527777778,6.324074074,3.805555556
ln79-6,350,7.7938474132,7.5153813093,0.5777194618,-0.4862369656,0.008390807,-2.5327817241,-0.7281081503,0.527777778,2.927777778,5.433333333,6.953703704,3.314814815
ln80-8,349.9999994342,7.7361207455,3.959404167,0.6195364869,-0.2207239509,0.4504831804,-1.8063153156,0.2472843116,0.477777778,2.644444444,4.961111111,6.222222222,2.361111111
ln81-9,314.9656433782,9.5663780442,2.4198401314,-0.0373045,-0.3549268067,0.7105796852,-1.0202563209,0.8640769748,1.266666667,3.088888889,5.194444444,4.925925926,0.601851852
ln82-0,315.639583754,11.1945645241,1.1744265133,0.7516309734,-0.0566753671,-0.0359735582,-0.4578204092,0.6287858713,0.688888889,3.25,6.533333333,4.046296296,0.296296296
ln83-1,305.5260121544,11.8317363853,0.8606452458,-0.1490294355,-0.3067462066,0.4311717399,-0.4375781944,0.60577099,1.625555556,3.585555556,6.114444444,3.703703704,0.083333333
ln84-2,308.7504668809,12.7148585853,0.4680318735,0.4184718523,-0.3909929612,0.1994509667,-0.1767870542,0.2626848607,1.183333333,3.938888889,6.633333333,3.240740741,0.259259259
ln85-3,299.0167986695,13.0896757664,0.1411113951,0.1445536248,-0.2873359424,0.1684023307,-0.0181250692,-0.0946881079,1.455555556,3.838888889,6.594444444,2.824074074,0.509259259
ln86-4,332.0573597624,10.8168992386,1.7338282426,-0.123899571,-0.1555216025,0.501549353,-0.8224075015,0.8754337885,1.583333333,3.377777778,6.083333333,4.75,0.305555556
ln87-5,277.4748595896,6.8311347504,0.4352691739,0.5415656582,0.1193663699,-0.0414204907,-0.317524303,0.1587140241,0.238888889,1.644444444,4.377777778,3.87037037,1.898148148
ln88-6,309.9452940995,10.9647980049,1.3989408831,-0.2793560958,-0.3016048286,0.5555277837,-0.6281573909,0.7257704569,1.666666667,3.383333333,5.788888889,4.185185185,0.222222222
ln89-7,336.3644032963,8.3784457198,0.9283983655,0.3896150497,-0.3968430147,0.4243781611,-0.5661337268,0.3442526399,0.755555556,2.933333333,5.188888889,4.851851852,1.842592593
ln90-9,288.7801411788,13.6911983924,1.1267656633,0.9194789665,0.067703908,-0.445268585,0.2111208746,-0.1841307627,0.7,3.533333333,7.155555556,2.268518519,0.481481481
ln91-0,328.5116556702,11.5970796204,0.4133629584,0.476448329,-0.2376702162,0.0884758082,-0.2130610715,0.2768570529,1.072222222,3.655555556,6.716666667,3.898148148,0.62962963
ln92-1,304.2153899998,10.9051933429,1.634357286,1.0503943297,-0.0548370433,-0.1482642013,-0.4143209393,0.578254116,0.305555556,3.072222222,6.394444444,3.898148148,0.342592593
ln93-2,349.9999999194,7.3988849036,5.6012790957,0.8718633383,0.3809376844,0.3052676376,-2.1120557015,0.3768982341,0.177777778,1.938888889,4.927777778,6.490740741,2.351851852
ln94-3,313.0344177142,13.0668700194,0.1460562567,0.2116765398,-0.2196664281,0.1226718651,-0.1053459893,0.1638590725,1.455555556,3.905555556,6.866666667,3.12962963,0.314814815
N2,285.5330798071,12.7778456038,1.6111333521,1.1515950203,0.0923398789,-0.4990375914,0.0901040018,0.1388465318,0.344444444,3.243055556,6.963888889,2.606481481,0.268518519
LSJ2,349.9999999954,7.9392701831,6.6539903798,0.8413364347,0.0001903805,-0.4554589554,-2.2950748221,-0.6865362687,0.284722222,2.486111111,5.972222222,6.726851852,3.217592593
